Overall,Name,Nation,AKA
95,Pelé,Brazil,
94,Ronaldo,Brazil,R9
94,Zinedine Zidane,France,
93,Mia Hamm,United States,
93,Johan Cruyff,Netherlands,
93,Ronaldinho,Brazil,R10
92,Birgit Prinz,Germany,
92,Ferenc Puskás,Hungary,
92,Garrincha,Brazil,
92,Paolo Maldini,Italy,
92,Bobby Charlton,England,
92,Gerd Müller,Germany,
91,Kylian Mbappé,France,
91,Erling Haaland,Norway,
91,Kevin De Bruyne,Belgium,KDB
91,Alexia Putellas,Spain,
91,Eusébio,Portugal,
91,Homare Sawa,Japan,
91,Marco van Basten,Netherlands,
91,Carlos Alberto,Brazil,
91,Franco Baresi,Italy,
91,Zico,Brazil,
91,Cafu,Brazil,
91,Thierry Henry,France,
91,Roberto Baggio,Italy,
90,Lionel Messi,Argentina,
90,Karim Benzema,France,
90,Thibaut Courtois,Belgium,
90,Harry Kane,England,
90,Robert Lewandowski,Poland,
90,Aitana Bonmatí,Spain,
90,Sam Kerr,Australia,
90,Caroline Graham Hansen,Norway,
90,Lothar Matthäus,Germany,
90,Roberto Carlos,Brazil,
90,Dennis Bergkamp,Netherlands,
90,Alessandro Del Piero,Italy,
90,Camille Abily,France,
90,George Best,Northern Ireland,
90,Ruud Gullit,Netherlands,
90,Bobby Moore,England,
90,Raúl,Spain,
90,Xavi,Spain,
90,Andrea Pirlo,Italy,
90,Rivaldo,Brazil,
89,Mohamed Salah,Egypt,
89,Rúben Dias,Portugal,
89,Vinicius Jr.,Brazil,Vini 
89,Rodri,Spain,
89,Neymar Jr,Brazil,
89,Marc-André ter Stegen,Germany,
89,Virgil van Dijk,Netherlands,
89,Alisson,Brazil,
89,Casemiro,Brazil,
89,Kadidiatou Diani,France,
89,Mapi León,Spain,
89,Alex Morgan,United States,
89,Ada Hegerberg,Norway,
89,Lúcio,Brazil,
89,Jürgen Kohler,Germany,
89,Gianluca Vialli,Italy,
89,David Ginola,France,
89,Abedi Pelé,Ghana,
89,Jean-Pierre Papin,France,
89,Rudi Völler,Germany,
89,Fernando Morientes,Spain,
89,Jairzinho,Brazil,
89,Kenny Dalglish,Scotland,
89,Carles Puyol,Spain,
89,Kelly Smith,England,
89,Gary Lineker,England,
89,Emilio Butragueño,Spain,
89,Sócrates,Brazil,
89,Eric Cantona,France,
89,Hugo Sánchez,Mexico,
89,Kaká,Brazil,
89,Philipp Lahm,Germany,
89,Didier Drogba,Ivory Coast,
89,Ruud van Nistelrooy,Netherlands,
89,Samuel Eto'o,Cameroon,
89,Luís Figo,Portugal,
89,Hristo Stoichkov,Bulgaria,
89,Fabio Cannavaro,Italy,
89,Alessandro Nesta,Italy,
89,Javier Zanetti,Argentina,
89,Alan Shearer,England,
88,Bruno Fernandes,Portugal,
88,Antoine Griezmann,France,
88,Victor Osimhen,Nigeria,
88,Bernardo Silva,Portugal,
88,Federico Valverde,Uruguay,
88,Ederson,Brazil,
88,Joshua Kimmich,Germany,
88,Jan Oblak,Slovenia,
88,Irene Paredes,Spain,
88,Wendie Renard,France,
88,Alexandra Popp,Germany,
88,Debinha,Brazil,
88,Sophia Smith,United States,
88,Guro Reiten,Norway,
88,Christiane Endler,Chile,
88,Marie Katoto,France,
88,Patri Guijarro,Spain,
88,Enzo Francescoli,Uruguay,
88,Carlos Tévez,Argentina,
88,Wesley Sneijder,Netherlands,
88,Diego Forlán,Uruguay,
88,Diego Milito,Argentina,
88,Vincent Kompany,Belgium,
88,Nadine Keßler,Germany,
88,Paulo Futre,Portugal,
88,Mario Gomez,Germany,
88,Javier Mascherano,Argentina,
88,Antonio Di Natale,Italy,
88,Rafael Márquez,Mexico,
88,Jari Litmanen,Finland,
88,Bixente Lizarazu,France,
88,Ricardo Carvalho,Portugal,
88,Jay-Jay Okocha,Nigeria,
88,Robin van Persie,Netherlands,
88,Miroslav Klose,Germany,
88,Laurent Blanc,France,
88,Patrick Vieira,France,
88,Michael Laudrup,Denmark,
88,Ronald Koeman,Netherlands,
88,Gheorghe Hagi,Romania,
88,Fernando Hierro,Spain,
88,Franck Ribéry,France,
88,Bastian Schweinsteiger,Germany,
88,Wayne Rooney,England,
88,Juan Román Riquelme,Argentina,
88,Steven Gerrard,England,
88,Andriy Shevchenko,Ukraine,
88,Rio Ferdinand,England,
88,Pavel Nedvěd,Czech Republic,
88,Michael Owen,England,
88,Marcel Desailly,France,
88,David Beckham,England,
88,Paul Scholes,England,
87,Luka Modrić,Croatia,
87,Frenkie de Jong,Netherlands,
87,Lautaro Martínez,Argentina,
87,Martin Ødegaard,Norway,
87,Mike Maignan,France,
87,Marquinhos,Brazil,
87,Gregor Kobel,Switzerland,
87,Heung Min Son,Korea Republic,Sonaldo
87,Gianluigi Donnarumma,Italy,
87,Manuel Neuer,Germany,
87,Fridolina Rolfö,Sweden,
87,Lucy Bronze,England,
87,Beth Mead,England,
87,Ewa Pajor,Poland,
87,Lena Oberdorf,Germany,
87,Lina Magull,Germany,
87,Rose Lavelle,United States,
87,Sandra Paños,Spain,
87,Steve McManaman,England,
87,Harry Kewell,Australia,
87,Tomas Brolin,Sweden,
87,Hidetoshi Nakata,Japan,
87,Claudio Marchisio,Italy,
87,Dimitar Berbatov,Bulgaria,
87,Yaya Touré,Ivory Coast,
87,Iván Córdoba,Colombia,
87,Rui Costa,Portugal,
87,Joe Cole,England,
87,Ian Wright,England,
87,Ian Rush,Wales,
87,John Barnes,England,
87,Patrick Kluivert,Netherlands,
87,Davor Šuker,Croatia,
87,Frank Rijkaard,Netherlands,
87,Nemanja Vidić,Serbia,
87,Fernando Torres,Spain,
87,Xabi Alonso,Spain,
87,David Trezeguet,France,
87,Frank Lampard,England,
87,Michael Ballack,Germany,
87,Claude Makélélé,France,
87,Emmanuel Petit,France,
87,Robert Pirès,France,
87,Clarence Seedorf,Netherlands,
87,Gianfranco Zola,Italy,
86,Ousmane Dembélé,France,
86,Bukayo Saka,England,
86,Jude Bellingham,England,
86,Rafael Leão,Portugal,
86,Pedri,Spain,
86,Matthijs de Ligt,Netherlands,
86,Sandro Tonali,Italy,
86,Riyad Mahrez,Algeria,
86,Jamal Musiala,Germany,
86,Nicolò Barella,Italy,
86,Ronald Araujo,Uruguay,
86,Paulo Dybala,Argentina,
86,İlkay Gündoğan,Germany,
86,Sergej Milinković-Savić,Serbia,SMS
86,Khvicha Kvaratskhelia,Georgia,
86,Andrew Robertson,Scotland,
86,Parejo,Spain,
86,Sadio Mané,Senegal,
86,Toni Kroos,Germany,
86,Éder Militão,Brazil,
86,Christopher Nkunku,France,
86,N'Golo Kanté,France,
86,João Cancelo,Portugal,
86,Cristiano Ronaldo,Portugal,CR7
86,Trent Alexander-Arnold,England,
86,Wojciech Szczęsny,Poland,
86,Selma Bacha,France,
86,Mary Earps,England,
86,Lauren Hemp,England,
86,Grace Geyoro,France,
86,Jill Roord,Netherlands,
86,Vivianne Miedema,Netherlands,
86,Sakina Karchaoui,France,
86,Lindsey Horan,United States,
86,Kim Little,Scotland,
86,Lea Schüller,Germany,
86,Ashley Lawrence,Canada,
86,Mallory Swanson,United States,
86,Cristiana Girelli,Italy,
86,Sonia Bompastor,France,
86,John Arne Riise,Norway,
86,Włodzimierz Smolarek,Poland,
86,Park Ji Sung,Korea Republic,
86,Ramires,Brazil,
86,Sami Al Jaber,Saudi Arabia,
86,Ledley King,England,
86,Sidney Govou,France,
86,Capdevila,Spain,
86,Dirk Kuyt,Netherlands,
86,Tomáš Rosický,Czech Republic,
86,Aleksandr Mostovoi,Russia,
86,Landon Donovan,United States,
86,Freddie Ljungberg,Sweden,
86,Nwankwo Kanu,Nigeria,
86,Ole Gunnar Solskjær,Norway,
86,Ludovic Giuly,France,
86,Robbie Keane,Republic of Ireland,
86,Gianluca Zambrotta,Italy,
86,Gennaro Gattuso,Italy,
86,Sol Campbell,England,
86,Juan Sebastián Verón,Argentina,
86,Henrik Larsson,Sweden,
86,Luis Hernández,Mexico,
86,Michaël Essien,Ghana,
86,Ashley Cole,England,
86,Hernán Crespo,Argentina,
86,Roy Keane,Republic of Ireland,
85,Jack Grealish,England,
85,Marcos Acuña,Argentina,
85,David Alaba,Austria,
85,Iago Aspas,Spain,
85,Alessandro Bastoni,Italy,
85,Domenico Berardi,Italy,
85,Yassine Bounou,Morocco,
85,Hakan Çalhanoğlu,Turkey,
85,Kingsley Coman,France,
85,Giovanni Di Lorenzo,Italy,
85,Phil Foden,England,
85,Leon Goretzka,Germany,
85,Theo Hernández,France,
85,Ciro Immobile,Italy,
85,Jules Koundé,France,
85,Aymeric Laporte,Spain,
85,Emiliano Martínez,Argentina,
85,Keylor Navas,Costa Rica,
85,André Onana,Cameroon,
85,Thomas Partey,Ghana,
85,Marcus Rashford,England,
85,Declan Rice,England,
85,Antonio Rüdiger,Germany,
85,Rodrygo,Brazil,
85,John Stones,England,
85,Diogo Jota,Portugal,
85,Kevin Trapp,Germany,
85,Kieran Trippier,England,
85,Raphaël Varane,France,
85,Florian Wirtz,Germany,
85,Ona Batlle,Spain,
85,Millie Bright,England,
85,Kadeisha Buchanan,Canada,
85,Rachel Daly,England,
85,Merle Frohms,Germany,
85,Kathrin Hendrich,Germany,
85,Amandine Henry,France,
85,Svenja Huth,Germany,
85,Katie McCabe,Republic of Ireland,
85,Asisat Oshoala,Nigeria,
85,Megan Rapinoe,United States,
85,Becky Sauerbrunn,United States,
85,Khadija Shaw,Jamaica,
